field_id,yield,height_mean_all,height_mean_range,height_mean_last_minus_first,height_mean_slope,height_mean_early,height_mean_mid,height_mean_late,height_mean_late_minus_early,pod_height_mean_all,pod_height_mean_range,pod_height_mean_last_minus_first,pod_height_mean_slope,pod_height_mean_early,pod_height_mean_mid,pod_height_mean_late,pod_height_mean_late_minus_early,spad_mean_all,spad_mean_range,spad_mean_last_minus_first,spad_mean_slope,spad_mean_early,spad_mean_mid,spad_mean_late,spad_mean_late_minus_early,spad_std_all,spad_std_range,pod_ratio_all,pod_ratio_range,pod_ratio_last_minus_first,pod_ratio_late_minus_early,交互_SPADx高度_all,交互_SPADx高度_late_minus_early,交互_SPADx占比_all,交互_SPADx占比_late_minus_early,spad_last
T1,1.74,115.88571428571427,17.0,7.466666666666669,0.880952380952381,115.56666666666666,113.26666666666668,117.84444444444443,2.2777777777777715,96.60952380952381,17.933333333333337,13.933333333333337,1.8190476190476197,92.93333333333334,94.43333333333334,100.5111111111111,7.577777777777769,56.88880952380953,41.53166666666667,1.0316666666666592,-2.1530952380952386,51.84666666666667,78.64333333333335,45.74722222222223,-6.099444444444444,1.4335056937537172,1.996996588744112,0.8334726361130073,0.07993048585126794,0.07014078463039508,0.05027195394672457,6592.600326530612,-13.89317901234564,47.41526603914028,-0.3066309902117161,45.74722222222223
T10,2.14,106.4,29.0,3.933333333333337,-2.0238095238095233,109.6,113.83333333333334,99.31111111111112,-10.288888888888877,92.06666666666666,23.53333333333333,3.200000000000003,-1.485714285714285,91.93333333333334,99.5,84.76666666666668,-7.166666666666657,52.44690476190477,30.874999999999993,-4.361666666666665,-1.6527976190476183,49.88916666666667,61.65416666666667,48.01388888888889,-1.8752777777777752,2.6270386559062047,9.632468683566268,0.8489289444463736,0.06198887034766021,-0.0005121765290425628,-0.004220539298804504,5580.350666666668,19.294524691357974,44.523695499003296,0.00791468355728588,48.01388888888889
T11,0.99,101.94285714285714,33.33333333333333,-9.066666666666663,-3.6238095238095234,107.8,111.69999999999999,91.53333333333335,-16.26666666666665,85.46666666666667,32.93333333333334,-7.733333333333334,-3.342857142857143,90.26666666666667,95.56666666666666,75.53333333333333,-14.733333333333334,53.55309523809524,37.51666666666666,0.7733333333333263,-0.7537500000000006,48.80500000000001,59.49416666666667,52.75777777777778,3.9527777777777757,1.6726452734764419,3.7776270297806858,0.8367307502858183,0.04914427509317132,-0.0032713850249987964,-0.011322125078955136,5459.3555374149655,-64.29851851851842,44.809521558699316,-0.044753844409314306,52.75777777777778
T12,1.38,113.73333333333332,28.533333333333317,2.86666666666666,-0.6833333333333336,110.86666666666667,119.39999999999999,111.86666666666667,1.0,95.36190476190475,26.599999999999994,4.533333333333331,-0.8357142857142859,95.3,98.66666666666667,93.2,-2.0999999999999943,58.4352380952381,33.16000000000001,10.77666666666667,3.1473214285714293,48.03916666666666,55.555,67.28611111111111,19.246944444444452,1.8913788476300881,5.7218018959760935,0.837754811145934,0.08245689529422062,0.021232137755167413,-0.02217840096133894,6646.034412698412,19.246944444444452,48.95440185474388,-0.426866451169504,67.28611111111111
T13,1.69,120.34285714285713,25.266666666666666,13.799999999999997,1.4595238095238092,113.5,124.16666666666666,122.35555555555555,8.855555555555554,105.41904761904762,33.733333333333334,18.733333333333334,2.161904761904762,95.33333333333333,110.83333333333334,108.53333333333335,13.200000000000017,60.88880952380952,34.461666666666666,14.896666666666661,3.800119047619047,46.2125,60.56999999999999,70.88555555555556,24.673055555555557,1.6427395631577486,3.8574703344228563,0.8739065081939312,0.1275377769537407,0.06646401857986961,0.050597563974267845,7327.533306122447,218.49361419753083,53.21112691903776,1.248396506912887,70.88555555555556
T14,1.4,107.56190476190476,24.866666666666674,-3.7333333333333343,-1.3833333333333333,108.06666666666666,112.1,104.2,-3.86666666666666,95.10476190476189,27.733333333333334,9.666666666666671,1.0809523809523818,88.36666666666666,99.69999999999999,96.53333333333335,8.166666666666686,60.13571428571429,30.843333333333327,9.493333333333332,2.910833333333333,49.13416666666667,59.83749999999999,67.6688888888889,18.53472222222223,1.8356363252728944,3.7699673561286606,0.8844259098994562,0.13954996050297208,0.13094363465381464,0.1100855510166413,6468.311972789116,-71.6675925925925,53.18558382459659,2.0404051087737205,67.6688888888889
T15,1.67,100.35238095238094,21.266666666666666,-13.266666666666666,-1.023809523809524,100.0,103.93333333333334,98.2,-1.7999999999999972,86.66666666666666,18.0,-4.866666666666674,0.5547619047619037,82.30000000000001,88.73333333333333,88.2,5.8999999999999915,49.426428571428566,33.88,7.466666666666669,-0.8200000000000003,46.93333333333334,56.571666666666665,46.324999999999996,-0.6083333333333414,1.4118249188799799,2.749258787427089,0.8637442504800737,0.09744021204030728,0.06880633377695289,0.07444120106904084,4960.059789115645,1.0950000000000129,42.69179350033547,-0.04528506398366711,46.324999999999996
T2,1.7,111.75238095238095,24.599999999999994,9.066666666666663,-0.2452380952380955,113.76666666666667,113.1,109.5111111111111,-4.25555555555556,96.10476190476189,23.266666666666666,15.066666666666663,1.0809523809523804,93.1,97.5,97.17777777777776,4.077777777777769,53.719047619047615,44.54666666666667,-10.364999999999998,-1.9678571428571425,46.63666666666667,75.52250000000001,43.905,-2.731666666666669,2.5627889890763833,4.561918541310065,0.8603684691557716,0.11978947938821682,0.07045044216786678,0.07151769950821885,6003.231473922901,11.624759259259282,46.218174764505996,-0.19536251582328465,43.905
T3,1.72,105.79047619047618,24.53333333333333,-9.333333333333329,-2.1833333333333322,109.1,107.86666666666667,102.2,-6.8999999999999915,88.08571428571427,34.2,-13.666666666666671,-3.2,93.8,91.53333333333333,81.97777777777777,-11.822222222222223,51.16642857142857,57.25166666666668,-18.565,-3.954047619047619,46.74666666666667,76.60166666666666,37.15611111111111,-9.59055555555556,2.36210416920616,7.041915384728355,0.8297649783351674,0.13951264625979543,-0.06498295034476531,-0.056971369662893845,5412.920843537414,66.17483333333328,42.45611049505931,0.5463870858280762,37.15611111111111
T4,1.01,107.16190476190475,11.799999999999997,2.799999999999997,-0.1547619047619051,107.63333333333333,107.13333333333333,106.86666666666667,-0.7666666666666515,91.88571428571427,23.200000000000003,5.266666666666666,-0.12857142857142886,92.86666666666667,90.43333333333334,92.2,-0.6666666666666714,52.87761904761906,43.77833333333333,-5.154999999999994,-2.9962499999999985,48.15416666666667,76.51750000000001,40.26666666666667,-7.887499999999996,2.336982842283888,6.787585832132912,0.8562180835642498,0.12132048216507918,0.028985676839543117,0.0025409420602747756,5666.466376417235,6.047083333333211,45.274773644392866,-0.020041680500417283,40.26666666666667
T5,1.87,110.41904761904762,35.46666666666667,30.400000000000006,1.838095238095238,108.0,109.43333333333334,112.68888888888888,4.688888888888883,91.68571428571428,30.33333333333333,30.33333333333333,2.204761904761904,89.03333333333333,88.56666666666666,95.53333333333335,6.500000000000014,60.37595238095239,36.62833333333333,29.611666666666665,2.2846428571428574,46.5275,78.39416666666668,57.59611111111112,11.068611111111117,1.495523577508245,3.45144724648054,0.8299343132423422,0.09720959507657878,0.04573689652429802,0.026084377608859288,6666.655160997733,51.89948765432095,50.10807457563808,0.28871783182783795,57.59611111111112
T6,1.47,114.65714285714286,37.73333333333335,-7.400000000000006,-1.6023809523809536,114.96666666666667,117.53333333333333,112.53333333333335,-2.433333333333323,98.65714285714284,33.8,0.5999999999999943,-0.5809523809523819,96.2,101.3,98.53333333333335,2.333333333333343,62.34142857142857,41.38666666666666,-6.460000000000001,0.9734523809523807,48.36833333333334,75.53833333333333,62.85888888888889,14.490555555555552,1.2818780814533108,3.529056261274122,0.8587395779150346,0.10645948245426184,0.06849937411271134,0.04232086528160528,7147.890081632653,-35.260351851851695,53.535052058048855,0.6132528495222834,62.85888888888889
T7,1.82,121.49523809523808,35.06666666666666,24.599999999999994,2.1690476190476184,113.13333333333333,125.3,124.53333333333335,11.40000000000002,105.7142857142857,42.93333333333334,26.733333333333334,1.8785714285714283,97.26666666666667,111.93333333333334,107.2,9.933333333333337,60.57595238095239,32.25166666666667,16.28833333333334,2.07952380952381,50.05833333333334,66.0975,63.906666666666666,13.84833333333333,1.724919412883919,3.141911350818313,0.8677834084775834,0.10797700260494991,0.05525971023162313,0.0061332488860240675,7359.689757369614,157.87100000000024,52.566806428918646,0.08493527498995661,63.906666666666666
